what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1586383826991
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1586383826991
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1586383826991
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1586383826992
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1586383826992
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1586383826993
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1586383826993
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1586383826994
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1586383826994
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1586383826995
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1586383826995
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1586383827002
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1586383827002
started,bundle,com.altera.sbtgui.integration,13.0.0.156,"com.altera.sbtgui.integration",1586383827003
started,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1586383827003
started,bundle,com.altera.systemconsole,13.0.0.156,"com.altera.systemconsole",1586383827003
started,bundle,com.altera.systemconsole.designs.plugin,13.0.0.156,"com.altera.systemconsole.designs.plugin",1586383827004
started,bundle,com.altera.utilities,13.0.0.156,"com.altera.utilities",1586383827004
os,sysinfo,,,"win32",1586383827013
arch,sysinfo,,,"x86",1586383827013
ws,sysinfo,,,"win32",1586383827013
locale,sysinfo,,,"en_NZ",1586383827013
processors,sysinfo,,,"4",1586383827013
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1586383827013
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1586383827013
java.specification.name,sysinfo,,,"Java Platform API Specification",1586383827013
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1586383827013
java.specification.version,sysinfo,,,"1.6",1586383827013
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1586383827013
java.version,sysinfo,,,"1.6.0_23",1586383827013
java.vm.info,sysinfo,,,"mixed mode",1586383827013
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1586383827013
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1586383827013
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1586383827013
java.vm.specification.version,sysinfo,,,"1.0",1586383827013
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1586383827013
java.vm.version,sysinfo,,,"19.0-b09",1586383827013
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1586383827095
started,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1586383827800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586384898690
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385511146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385522301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385523162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385525937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385540145
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1586385560040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385568482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385569429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385570305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385591589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385621633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385622788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385623098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385628735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385640258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385641861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385646160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385646683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385651796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385656838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385669457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385674313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385674334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385676245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385719595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385720720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385723194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586385726907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1586385737089
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1586385739051
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1586385739209
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1586385739212
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1586385739235
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1586385739298
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1586385739740
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1586385744824
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1586385744859
error,log,,,"Unable to validate connection settings.",1586385752720
error,log,,,"Unable to validate connection settings.",1586385752721
